Has checked the outlaw's way ; 	b
Ah ! my dear father, tell me why ? 	b
But what shall brave the deep, deep waves 	b
And gives the waves a brighter blue, 	b
Stooped, and raised his languid head ; 	b
Subdue this quenchless will ! ' 	b
He felt for all the beauty there. 	b
Turn back, from that tempestuous surge, 	b
Before it fades away ! 	b
When winter winds were wild . 	b
Warm and bright on Arden's lake 	b
All my life's bliss from thy dear life was given, 	b
Who motionless is laid . . . 	b
Of southern waters breaking to the wind, 	b
And laughter sink into a sigh, 	b
Their sunlit isles of paradise, 	b
The vain man smile, the fool deride, 	b
4 This is my home where whirlwinds blow, 	b
1 'd call forth the glorious chorus again 	b
With blood on his hand that he wept to have shed ? 	b
The space between is all forgot, 	b
* But, I '11 not fear, I will not weep 	b
Oh, stars, and dreams, and gentle night ; 	b
I have one rite a gentle kiss ; 	b
When those who were thy own compeers, 	b
All Nature's million mysteries, 	b
To reach, at last, the eternal home, 	b
Was flitting o'er me evermore. 	b
But something whispers to my mind, 	b
What though the stars and fair moonlight 	b
And who with unregretful eyes 	b
But sweet was the slight and spicy smell 	b
Opening its ports for me and mine ; 	b
Implored to change for senseless rest 	b
How still, how happy ! These are words 	b
And what is thine that it should prove 	b
And fresh winds shook the door ; 	b
That I shall greet them ne'er again ! ' 	b
Dare not indulge in memory's rapturous pain ; 	b
And conquered good and conquering ill 	b
Gladly to see his gory sun 	b
Nay, smile to hear Death's billows rave- 	b
Is human love so true ? 	b
The strength of eyesight to restore 	b
My monarch died to rule for ever 	b
Unawed, the darkness of the grave ? 	b
Which wilder visions muster'd to my mind ; 	b
Clothe in blood its sovereign's prayer. 	b
Hark ! listen to the distant gun 	b
Yet vainly flowed the calmer wave 	b
None need point the princely victim, 	b
* And now, 'mid northern mountains lone 	b
Are warring night and day ; 	b
From those brown hills, have melted into spring : 	b
On the shady side reclined 	b
On antique roof and hoary tree, 	b
That flush of roseate light, 	b
None but me beheld him dying, 	b
No ; 'twas not the flowery plain : 	b
Has Almadore in battle bled ! 	b
The yells, the groans, the frenzied gladness, 	b
Their careless young eyes are closed in sleeping ; 	b
T' escape from labour's tyrant power 	b
November's gusts unheeded call ; 	b
Doth he not rather roam ? 	b
And glowed both roof and floor ; 	b
And not one of all my lays 	b
1 Ice has barred the Arctic waters, 	b
The future fills me with dismay ; 	b
Felt, but unseen, the damp dewdrops fall. 	b
From those eternal waves that surge below. 	b
Rattled against an old vault's rail. 	b
When that grim concave frowned above, 	b
A thoughtful spirit taught me soon, 	b
There if he can to die alone ? ' 	b
When it has worn through many a week 	b
Because thy soul is clear ; 	b
For ever triumphing : 	b
Too truly agonised to weep, 	b
Through wind and ocean's roar, 	b
The face, all deadly fair, 	b
Winds take a pensive tone, and stars a tender fire, 	b
AH ! why, because the dazzling sun 	b
But voiceless silence everywhere. 	b
December's sullen time ! 	b
Hope soothes me in the griefs I know ; 	b
Can rob us of the past. 	b
That now I cannot feel ! 	b
That Death he took a certain aim, 	b
The grave is drear, but they are not there : 	b
Away, away, resign thee now 	b
How every drift in their glens profound 	b
Or bless not me with heaven ! * 	b
There is no need of other sound 	b
Of youth's delight, when youth is past, 	b
Day by day some dreary token 	b
But hope is dead for him. 	b
She scarcely feels the flow ; 	b
Faltering, faint, and ready to die. 	b
Begins another voyage nay, they 're gone ; 	b
1 see them foaming high ; 	b
Before their hearts went wandering wrong, 	b
From tracking farther day by day, 	b
Day breathes such beauty over earth and sky, 	b
Raised on my pillow, to descry 	b
And, in the red fire's cheerful glow, 	b
And Lord Eldred glancing round, 	b
And thou false friend and treacherous guide 	b
And never radiant bow could be 	b
Drinks tears, instead of dew ; 	b
A winter sunset in the west 	b
A faithless heart to thee ? 	b
And let Thy holy Spirit shine 	b
Darken that triumphant eye ! 	b
Blood-red, he rose, and, arrow-straight, 	b
Where tears and mourning cannot come. 	b
That wander down to drink the tide. 	b
Enough if storms have bowed his head, 	b
Even Memory's voice grew dim ; 	b
For round their hearths they'll tell this 	b
Yet, loved one, it must be : 	b
More drear I cannot be ! 	b
Those sad relics scattered round ; 	b
The giant sons of Anakim 	b
Sweet, how softly sweet it came 	b
And all around his youthful brow 	b
With alien breezes sadly blent. 	b
All her cherished hopes should wane, 	b
SWART steed of night, thou hast charged thy last 	b
Its face is fair divinely fair ; 	b
It will not, cannot rise ; 	b
But if that night bring only sleep, 	b
Deep in unknown eternity ; 	b
How could I seek the empty world again ? 	b
My eyes are full of tears, 	b
No later light has lightened up my heaven, 	b
Where evening closes dark and chill ; 	b
The soul to feel the flesh, and the flesh to feel the 	b
Concludes thy musing once again ? 	b
' O DAY ! he cannot die 	b
To breathe its bliss on me ; 	b
Through this false world, their all had 	b
The stream in silence sang once more 	b
And woke her with a sudden song ; 	b
Roderic, for thee shall never rise ! 	b
With my consoling tear? 	b
To the enduring seas 	b
THE ABSENT ONE 	b
O then another daybreak 	b
And grew in another bed ; 	b
1 Oh, for the time when I shall sleep 	b
DREAM, where art thou now ? 	b
Such tears as I weep it is not so ! 	b
And voiceless, soulless, messenger, 	b
O gallant horse, hold on thy course ; 	b
But still they gave no certain token 	b
The captive raised her face ; it was as soft and 	b
To the deadliest press of the gathering fight 	b
Though not because my heart is tame, 	b
' And why should we be glad at all ? 	b
Oh, for the day, when I shall rest, 	b
Weaned my young soul from yearning after thine ; 	b
1 And thou art gone with all thy pride ; 	b
They were clothed in savage attire ; 	b
For the woe I could not bear 	b
Than other love, more true? 	b
Must always fade, and always cloy : 	b
One long look, that sore reproved me 	b
I am thinking of my latest shock, 	b
For now might Faith decay. 	b
Sit beneath the ancient thorn. 	b
And morning's beams will rise as drear. 	b
Their happy souls are gone to God I 	b
Buried in a hapless tomb. 	b
Clouded, even as they would weep. 	b
