From fairest creatures we desire increase,	s
With others thou shouldst not abhor my state:	s
His tender heir might bear his memory:	s
But thou, contracted to thine own bright eyes,	s
Feed'st thy light'st flame with self-substantial fuel,	s
Thyself thy foe, to thy sweet self too cruel.	s
Thou that art now the world's fresh ornament	s
And only herald to the gaudy spring,	s
Within thine own bud buriest thy content	s
And, tender churl, makest waste in niggarding.	s
Pity the world, or else this glutton be,	s
To eat the world's due, by the grave and thee.	s
When forty winters shall beseige thy brow,	s
Poor soul, the centre of my sinful earth,	s
Thy youth's proud livery, so gazed on now,	s
Will be a tatter'd weed, of small worth held:	s
Then being ask'd where all thy beauty lies,	s
Where all the treasure of thy lusty days,	s
To say, within thine own deep-sunken eyes,	s
Were an all-eating shame and thriftless praise.	s
If thou couldst answer 'This fair child of mine	s
Shall sum my count and make my old excuse,'	s
Proving his beauty by succession thine!	s
This were to be new made when thou art old,	s
Now is the time that face should form another;	s
Whose fresh repair if now thou not renewest,	s
Thou dost beguile the world, unbless some mother.	s
For where is she so fair whose unear'd womb	s
Disdains the tillage of thy husbandry?	s
Or who is he so fond will be the tomb	s
Thou art thy mother's glass, and she in thee	s
Calls back the lovely April of her prime:	s
So thou through windows of thine age shall see	s
Despite of wrinkles this thy golden time.	s
But if thou live, remember'd not to be,	s
Die single, and thine image dies with thee.	s
Unthrifty loveliness, why dost thou spend	s
Cupid laid by his brand, and fell asleep:	s
Nature's bequest gives nothing but doth lend,	s
And being frank she lends to those are free.	s
The bounteous largess given thee to give?	s
Profitless usurer, why dost thou use	s
So great a sum of sums, yet canst not live?	s
For having traffic with thyself alone,	s
Thou of thyself thy sweet self dost deceive.	s
Then how, when nature calls thee to be gone,	s
What acceptable audit canst thou leave?	s
Thy unused beauty must be tomb'd with thee,	s
Which, used, lives th' executor to be.	s
Those hours, that with gentle work did frame	s
The lovely gaze where every eye doth dwell,	s
Will play the tyrants to the very same	s
And that unfair which fairly doth excel:	s
For never-resting time leads summer on	s
To hideous winter and confounds him there;	s
Sap check'd with frost and lusty leaves quite gone,	s
Beauty o'ersnow'd and bareness every where:	s
Then, were not summer's distillation left,	s
Nor it nor no remembrance what it was:	s
But flowers distill'd though they with winter meet,	s
Leese but their show; their substance still lives sweet.	s
Then let not winter's ragged hand deface	s
In thee thy summer, ere thou be distill'd:	s
Make sweet some vial; treasure thou some place	s
With beauty's treasure, ere it be self-kill'd.	s
That use is not forbidden usury,	s
Which happies those that pay the willing loan;	s
Or ten times happier, be it ten for one;	s
Ten times thyself were happier than thou art,	s
If ten of thine ten times refigured thee:	s
Then what could death do, if thou shouldst depart,	s
